ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered,cbm,start,end,group
Null,VEH_2,1,O_640,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305186339753,VEH_2,2,D_1184,2023-05-15 04:21,0,60,2023-05-15 05:21,Yes,24.47,0,360,0
Null,VEH_2,3,O_495,2023-05-15 06:51,0,0,2023-05-15 06:51,Null,0.0,0,1440,-1
MF2305156308620,VEH_2,4,D_1195,2023-05-15 10:25,0,60,2023-05-15 11:25,Yes,25.18,420,900,1
Null,VEH_2,5,O_641,2023-05-15 12:12,0,0,2023-05-15 12:12,Null,0.0,0,1440,-1
MF2305156308970,VEH_2,6,D_1236,2023-05-15 16:50,0,60,2023-05-15 17:50,Yes,25.0,600,1020,2
Null,VEH_2,7,O_42,Null,Null,Null,Null,Null,0.0,0,1440,-1
MF2305156309750,VEH_2,8,D_1295,Null,Null,Null,Null,No,24.89,0,360,2
Null,VEH_102,1,O_641,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305156308974,VEH_102,2,D_1527,2023-05-15 04:45,135,60,2023-05-15 08:00,Yes,13.32,420,900,0
Null,VEH_102,3,O_495,2023-05-15 09:12,0,0,2023-05-15 09:12,Null,0.0,0,1440,-1
20230515B498477_001,VEH_102,4,D_109,2023-05-15 10:19,0,60,2023-05-15 11:19,Yes,21.06,600,1020,0
Null,VEH_102,5,O_276,2023-05-15 12:50,0,0,2023-05-15 12:50,Null,0.0,0,1440,-1
20230513B494307_001,VEH_102,6,D_120,Null,Null,Null,Null,No,14.15,1080,120,0
Null,VEH_102,7,O_26,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230515B495612_001,VEH_102,8,D_1,Null,Null,Null,Null,No,20.76,1080,120,3
Null,VEH_102,9,O_276,Null,Null,Null,Null,Null,0.0,0,1440,-1
20230513B494625_001,VEH_102,10,D_81,Null,Null,Null,Null,No,19.27,0,360,1
Null,VEH_103,1,O_641,2023-05-15 18:00,0,0,2023-05-15 18:00,Null,0.0,0,1440,-1
MF2305166312393,VEH_103,2,D_1859,Null,Null,Null,Null,No,19.63,1080,120,3
Null,VEH_202,1,O_292,2023-05-15 06:00,0,0,2023-05-15 06:00,Null,0.0,0,1440,-1
MF2305156310882,VEH_202,2,D_1186,2023-05-15 11:03,0,60,2023-05-15 12:03,Yes,23.8,600,1020,1
