ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered,cbm,start,end,group
Null,VEH_2,1,O_640,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305186339753,VEH_2,2,D_1184,Null,Null,Null,Null,No,24.47,0,360,0
Null,VEH_102,1,O_641,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305156308974,VEH_102,2,D_1527,Null,Null,Null,Null,No,13.32,420,900,0
Null,VEH_302,1,O_537,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
M18406180,VEH_302,2,D_318,Null,Null,Null,Null,No,20.57,420,900,0
Null,VEH_402,1,O_42,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305156309716,VEH_402,2,D_1295,Null,Null,Null,Null,No,27.0,600,1020,0
Null,VEH_702,1,O_70,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305156310668,VEH_702,2,D_1827,Null,Null,Null,Null,No,22.84,420,900,0
Null,VEH_802,1,O_68,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B498542_001,VEH_802,2,D_56,Null,Null,Null,Null,No,17.56,0,360,0
Null,VEH_803,1,O_68,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B498538_001,VEH_803,2,D_56,Null,Null,Null,Null,No,19.74,420,900,0
Null,VEH_804,1,O_68,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305156309453,VEH_804,2,D_1323,Null,Null,Null,Null,No,22.8,600,1020,0
Null,VEH_1002,1,O_288,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
PND000124,VEH_1002,2,D_2258,Null,Null,Null,Null,No,17.07,0,360,0
Null,VEH_1003,1,O_288,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
PND000409,VEH_1003,2,D_2234,Null,Null,Null,Null,No,19.91,600,1020,0
Null,VEH_1102,1,O_73,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305316385734,VEH_1102,2,D_1968,Null,Null,Null,Null,No,26.78,0,360,0
Null,VEH_1103,1,O_73,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305316385747,VEH_1103,2,D_1966,Null,Null,Null,Null,No,17.22,0,360,0
Null,VEH_1104,1,O_73,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305316383890,VEH_1104,2,D_1963,Null,Null,Null,Null,No,16.69,420,900,0
Null,VEH_1105,1,O_73,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305316385711,VEH_1105,2,D_1966,Null,Null,Null,Null,No,24.11,600,1020,0
Null,VEH_1106,1,O_73,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305316385719,VEH_1106,2,D_1568,Null,Null,Null,Null,No,25.41,600,1020,0
Null,VEH_1107,1,O_73,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305316385742,VEH_1107,2,D_1967,Null,Null,Null,Null,No,24.66,600,1020,0
Null,VEH_1202,1,O_819,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305166312782,VEH_1202,2,D_1426,Null,Null,Null,Null,No,26.59,420,900,0
Null,VEH_1203,1,O_819,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305166312772,VEH_1203,2,D_1410,Null,Null,Null,Null,No,24.12,600,1020,0
Null,VEH_1302,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B494741_001,VEH_1302,2,D_1,Null,Null,Null,Null,No,16.96,0,360,0
20230513B494105_001,VEH_1302,3,D_121,Null,Null,Null,Null,No,9.71,420,900,0
Null,VEH_1303,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494265_001,VEH_1303,2,D_163,Null,Null,Null,Null,No,16.64,0,360,0
20230513B494192_001,VEH_1303,3,D_64,Null,Null,Null,Null,No,9.2,600,1020,0
Null,VEH_1304,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494283_001,VEH_1304,2,D_100,Null,Null,Null,Null,No,13.51,0,360,0
20230513B494570_001,VEH_1304,3,D_6,Null,Null,Null,Null,No,13.47,420,900,0
Null,VEH_1305,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494584_001,VEH_1305,2,D_146,Null,Null,Null,Null,No,24.84,0,360,0
Null,VEH_1306,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B495454_001,VEH_1306,2,D_150,Null,Null,Null,Null,No,17.85,0,360,0
Null,VEH_1307,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494261_001,VEH_1307,2,D_54,Null,Null,Null,Null,No,19.47,0,360,0
Null,VEH_1308,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494482_001,VEH_1308,2,D_95,Null,Null,Null,Null,No,18.06,0,360,0
Null,VEH_1309,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494024_001,VEH_1309,2,D_96,Null,Null,Null,Null,No,20.38,0,360,0
Null,VEH_1310,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B494656_001,VEH_1310,2,D_5,Null,Null,Null,Null,No,21.81,0,360,0
Null,VEH_1311,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230515B494843_001,VEH_1311,2,D_88,Null,Null,Null,Null,No,19.15,0,360,0
Null,VEH_1312,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B493991_001,VEH_1312,2,D_83,Null,Null,Null,Null,No,13.01,420,900,0
20230513B494140_001,VEH_1312,3,D_34,Null,Null,Null,Null,No,13.47,780,1080,0
Null,VEH_1313,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494062_001,VEH_1313,2,D_177,Null,Null,Null,Null,No,16.89,420,900,0
Null,VEH_1314,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494115_001,VEH_1314,2,D_20,Null,Null,Null,Null,No,22.82,420,900,0
Null,VEH_1315,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494212_001,VEH_1315,2,D_243,Null,Null,Null,Null,No,25.32,420,900,0
Null,VEH_1316,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494401_001,VEH_1316,2,D_78,Null,Null,Null,Null,No,24.67,420,900,0
Null,VEH_1317,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494624_001,VEH_1317,2,D_160,Null,Null,Null,Null,No,26.3,420,900,0
Null,VEH_1318,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494455_001,VEH_1318,2,D_56,Null,Null,Null,Null,No,21.78,600,1020,0
Null,VEH_1319,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305166314636,VEH_1319,2,D_1478,Null,Null,Null,Null,No,21.95,600,1020,0
Null,VEH_1352,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
N_20230513933383,VEH_1352,2,D_73,Null,Null,Null,Null,No,30.62,0,360,0
Null,VEH_1353,1,O_276,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
20230513B494477_001,VEH_1353,2,D_121,Null,Null,Null,Null,No,28.26,0,360,0
